Lab 02 (820171),Lab 03 (820172),Lab 04 (820173),Lab 05 (820174),Lab 06 (820175),Lab 07 (820176),Lab 08 (820177),Lab 09 (820178),Lab 10 (820179),Lab 11 (820180),Lab 12 (820181),Lab 13 (820182),Lab 14 (820183),Lab 15 (820184),Lab 16 (820185),Lab 17 (820186),Lab 20 (820189),Lab 21 (820190),Lab 22 (820187),Lab 23 (820188),Homework 1 (820163),Homework 2 (820164),Homework 3 (820165),Homework 4 (820211),Homework 5 (820166),Homework 6 (820167),Homework 7 (820168),Project 1 (820193),Project 2A (820194),Project 2B (820195),Project 3 (820196),Project 4 (820197),Midterm 1 (820191),Midterm 2 (820192),Final Exam (820162)
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,39,45,53
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,28.5,42,44
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,5,50,50,50,50,50,50,100,50,50,100,100,38,40,55
20,15,20,20,20,20,20,20,20,10,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,40,43,57
20,20,20,20,20,20,20,20,20,0,10,7,0,0,4,0,20,0,20,20,0,50,28,50,0,0,50,80,50,50,0,15,37,42,59
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,25,50,50,50,0,50,24,100,50,42.5,75.53,100,31,29,39.5
20,20,20,20,20,20,20,20,20,20,20,20,0,0,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,76.67,25,36,42,51
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,35,44,56
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,37,45,57
0,20,20,20,20,20,0,0,20,0,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,0,50,100,50,50,100,100,37,45,59
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,27,45,50
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,12,50,50,50,50,50,50,50,100,50,50,100,100,40,44,60
20,20,20,17.24,0,0,0,20,0,0,0,20,0,20,0,20,0,0,20,0,50,50,50,50,50,0,50,100,50,50,0,100,37,32,54
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,50,50,50,50,50,50,50,100,50,50,100,100,40,43,58
20,20,20,20,20,6,20,20,20,14.5,20,20,20,8,8,18,20,20,0,0,50,50,50,50,50,50,50,100,50,50,100,100,35,38,53
20,20,20,20,20,0,20,20,20,20,0,20,20,20,20,20,20,20,0,20,35,50,50,50,50,50,50,100,50,50,100,40,36,40,57
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,50,50,50,50,50,50,50,100,50,50,100,100,37,45,57
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,39,44,59
20,20,20,20,20,20,20,20,20,20,20,20,20,8,12,0,20,0,0,0,35,50,50,50,50,0,0,100,50,50,0,0,35,42,0
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,35,50,50,50,36.23,50,50,100,50,50,100,75,32.5,45,52
20,20,20,20,20,20,20,20,20,0,20,20,20,20,20,20,20,20,20,20,35,50,50,50,50,50,50,100,50,0,100,100,40,45,59
20,20,20,0.33,20,6,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,38,40,52.5
20,20,20,19.89,20,20,20,20,20,14.5,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,37,42,61
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,40,42,61
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,40,45,53
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,39,45,50
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,75,40,45,61
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,35,50,50,50,0,50,0,100,50,50,0,0,38,41,53.86
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,38,42,57
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,38,45,58
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,37,45,54
20,20,20,19.9,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,40,42,59
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,34,44,56
20,20,20,20,20,20,20,20,20,18,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,39,44,61
20,20,20,20,20,20,20,0,20,0,20,20,20,0,20,20,20,20,20,20,35,0,50,28,50,50,0,100,50,50,100,25,38,41,55
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,40,45,60
0,0,0,0.3,7,0,0,10,0,11,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,26.5,45,45
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,20,50,50,50,50,50,50,50,100,50,50,100,100,39,45,62
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,30,50,50,50,50,50,50,100,50,50,100,0,32,34,50
0,20,20,20,20,20,20,10,20,20,20,20,20,20,20,20,20,20,20,20,35,50,50,50,50,0,50,100,50,50,100,50,32,44,53
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,42,100,50,50,100,100,39,41,62
20,20,15,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,15,38,40,53
20,20,20,20,20,20,20,20,20,19.5,20,20,20,20,20,20,20,20,6,20,50,50,50,50,50,50,50,100,50,50,100,100,35,37,55
20,17.5,20,0,20,20,20,20,20,20,20,20,15,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,75,34,43,56
0,15,12,17.88,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,30,50,50,50,50,50,50,100,50,50,100,100,37,43,59
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,20,6,50,50,50,50,50,50,50,100,50,50,100,50,31,34,48
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,45,50,0,0,50,50,50,55,50,50,100,100,39,45,53
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,100,100,26,41,50
