Lab 02 (820171),Lab 03 (820172),Lab 04 (820173),Lab 05 (820174),Lab 06 (820175),Lab 07 (820176),Lab 08 (820177),Lab 09 (820178),Lab 10 (820179),Lab 11 (820180),Lab 12 (820181),Lab 13 (820182),Lab 14 (820183),Lab 15 (820184),Lab 16 (820185),Lab 17 (820186),Lab 20 (820189),Lab 21 (820190),Lab 22 (820187),Lab 23 (820188),Homework 1 (820163),Homework 2 (820164),Homework 3 (820165),Homework 4 (820211),Homework 5 (820166),Homework 6 (820167),Homework 7 (820168),Project 1 (820193),Project 2A (820194),Project 2B (820195),Project 3 (820196),Project 4 (820197),Extra Credit (838909),Midterm 1 (820191),Midterm 2 (820192),Final Exam (820162),Free Coding (10 pts) (840138),Assignments Current Score,Assignments Unposted Current Score,Assignments Final Score,Assignments Unposted Final Score,Assessments Current Score,Assessments Unposted Current Score,Assessments Final Score,Assessments Unposted Final Score,Labs Current Score,Labs Unposted Current Score,Labs Final Score,Labs Unposted Final Score,Homework Current Score,Homework Unposted Current Score,Homework Final Score,Homework Unposted Final Score,Projects Current Score,Projects Unposted Current Score,Projects Final Score,Projects Unposted Final Score,Midterm 1 Current Score,Midterm 1 Unposted Current Score,Midterm 1 Final Score,Midterm 1 Unposted Final Score,Midterm 2 Current Score,Midterm 2 Unposted Current Score,Midterm 2 Final Score,Midterm 2 Unposted Final Score,Final Exam Current Score,Final Exam Unposted Current Score,Final Exam Final Score,Final Exam Unposted Final Score,Extra Credit Current Score,Extra Credit Unposted Current Score,Extra Credit Final Score,Extra Credit Unposted Final Score,Imported Assignments Current Score,Imported Assignments Unposted Current Score,Imported Assignments Final Score,Imported Assignments Unposted Final Score,Current Score,Unposted Current Score,Final Score,Unposted Final Score,Current Grade,Unposted Current Grade,Final Grade,Unposted Final Grade
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,14,0,50,50,50,50,50,50,100,50,50,100,75,,34.5,40,50,,,,0,0,100,100,100,100,100,100,100,100,100,100,100,100,93.75,93.75,93.75,93.75,86.25,86.25,86.25,86.25,100,100,100,100,78.13,78.13,78.13,78.13,,,0,0,,,,,92,92,92,92,A-,A-,A-,A-
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,75.12,100,,30,40,49,,,,0,0,0,0,0,0,100,100,100,100,100,100,100,100,93.78,93.78,93.78,93.78,75,75,75,75,100,100,100,100,76.56,76.56,76.56,76.56,,,0,0,,,,,90.01,90.01,90.01,90.01,A-,A-,A-,A-
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,,39,45,55,,,,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,97.5,97.5,97.5,97.5,112.5,112.5,112.5,112.5,85.94,85.94,85.94,85.94,,,0,0,,,,,98.69,98.69,98.69,98.69,A,A,A,A
20,20,20,0,20,20,20,20,20,15,0,20,20,20,20,20,20,20,0,20,50,50,50,50,50,50,50,100,50,50,100,65,,40,45,59,,,,0,0,100,100,100,100,93.06,93.06,93.06,93.06,100,100,100,100,91.25,91.25,91.25,91.25,100,100,100,100,112.5,112.5,112.5,112.5,92.19,92.19,92.19,92.19,,,0,0,,,,,97.08,97.08,97.08,97.08,A,A,A,A
20,0,20,20,20,20,0,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,28,50,50,50,50,0,50,50,100,100,,34,36,50.5,,,,0,0,100,100,100,100,100,100,100,100,100,100,100,100,75,75,75,75,85,85,85,85,90,90,90,90,78.91,78.91,78.91,78.91,,,0,0,,,,,85.78,85.78,85.78,85.78,B,B,B,B
20,20,20,20,20,20,20,20,20,19.5,20,20,20,20,20,20,20,20,20,0,50,50,50,50,50,50,50,100,50,50,100,100,,40,44,57,,,,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,110,110,110,110,89.06,89.06,89.06,89.06,,,0,0,,,,,99.31,99.31,99.31,99.31,A,A,A,A
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,,38.5,45,54,,,,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,96.25,96.25,96.25,96.25,112.5,112.5,112.5,112.5,84.38,84.38,84.38,84.38,,,0,0,,,,,98.19,98.19,98.19,98.19,A,A,A,A
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,34,50,50,50,50,100,50,50,100,100,,35.5,45,56,,,,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,88.75,88.75,88.75,88.75,112.5,112.5,112.5,112.5,87.5,87.5,87.5,87.5,,,0,0,,,,,97.69,97.69,97.69,97.69,A,A,A,A
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,,39,43,61,,,,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,97.5,97.5,97.5,97.5,107.5,107.5,107.5,107.5,95.31,95.31,95.31,95.31,,,0,0,,,,,99.81,99.81,99.81,99.81,A,A,A,A
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,,30,44,55,,,,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,75,75,75,75,110,110,110,110,85.94,85.94,85.94,85.94,,,0,0,,,,,94.94,94.94,94.94,94.94,A,A,A,A
