Lab 02,Lab 03,Lab 04,Lab 05,Lab 06,Lab 07,Lab 08,Lab 09,Lab 10,Lab 11,Lab 12,Lab 13,Lab 14,Lab 15,Lab 16,Lab 17,Lab 20,Lab 21,Lab 22,Lab 23,Homework 1,Homework 2,Homework 3,Homework 4,Homework 5,Homework 6,Homework 7,Project 1,Project 2A,Project 2B,Project 3,Project 4,Midterm 1,Midterm 2,Final Exam,Final Exam Grade
20.0,15.0,20,20.0,20,20,20,20,20,10.0,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50.0,50,50,100,50.0,50.0,100.0,100.0,40.0,43.0,57.0,B+
20.0,20.0,20,20.0,20,20,20,20,20,0.0,10,7,0,0,4,0,20,0,20,20,0,50,28,50,0.0,0,50,80,50.0,50.0,0.0,15.0,37.0,42.0,59.0,A-
20.0,20.0,20,20.0,20,20,20,20,20,20.0,20,20,20,20,20,20,20,20,20,20,25,50,50,50,0.0,50,24,100,50.0,42.5,75.53,100.0,31.0,29.0,39.5,D-
20.0,20.0,20,20.0,20,20,20,20,20,20.0,20,20,0,0,20,20,20,20,20,20,50,50,50,50,50.0,50,50,100,50.0,50.0,76.67,25.0,36.0,42.0,51.0,C+
20.0,20.0,20,20.0,20,20,20,20,20,20.0,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50.0,50,50,100,50.0,50.0,100.0,100.0,35.0,44.0,56.0,B+
20.0,20.0,20,20.0,20,20,20,20,20,20.0,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50.0,50,50,100,50.0,50.0,100.0,100.0,37.0,45.0,57.0,B+
0.0,20.0,20,20.0,20,20,0,0,20,0.0,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50.0,0,50,100,50.0,50.0,100.0,100.0,37.0,45.0,59.0,A-
20.0,20.0,20,20.0,20,20,20,20,20,20.0,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50.0,50,50,100,50.0,50.0,100.0,100.0,27.0,45.0,50.0,C+
20.0,20.0,20,20.0,20,20,20,20,20,20.0,20,20,20,20,20,20,20,20,20,12,50,50,50,50,50.0,50,50,100,50.0,50.0,100.0,100.0,40.0,44.0,60.0,A-
20.0,20.0,20,17.24,0,0,0,20,0,0.0,0,20,0,20,0,20,0,0,20,0,50,50,50,50,50.0,0,50,100,50.0,50.0,0.0,100.0,37.0,32.0,54.0,B
20.0,20.0,20,20.0,20,20,20,20,20,20.0,20,20,20,20,20,20,20,20,20,0,50,50,50,50,50.0,50,50,100,50.0,50.0,100.0,100.0,40.0,43.0,58.0,A-
20.0,20.0,20,20.0,20,6,20,20,20,14.5,20,20,20,8,8,18,20,20,0,0,50,50,50,50,50.0,50,50,100,50.0,50.0,100.0,100.0,35.0,38.0,53.0,B-
20.0,20.0,20,20.0,20,0,20,20,20,20.0,0,20,20,20,20,20,20,20,0,20,35,50,50,50,50.0,50,50,100,50.0,50.0,100.0,40.0,36.0,40.0,57.0,B+
20.0,20.0,20,20.0,20,20,20,20,20,20.0,20,20,20,20,20,20,20,20,20,0,50,50,50,50,50.0,50,50,100,50.0,50.0,100.0,100.0,37.0,45.0,57.0,B+
20.0,20.0,20,20.0,20,20,20,20,20,20.0,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50.0,50,50,100,50.0,50.0,100.0,100.0,39.0,44.0,59.0,A-
20.0,20.0,20,20.0,20,20,20,20,20,20.0,20,20,20,8,12,0,20,0,0,0,35,50,50,50,50.0,0,0,100,50.0,50.0,0.0,0.0,35.0,42.0,0.0,E
20.0,20.0,20,20.0,20,20,20,20,20,20.0,20,20,20,20,20,20,20,20,20,20,35,50,50,50,36.23,50,50,100,50.0,50.0,100.0,75.0,32.5,45.0,52.0,B-
20.0,20.0,20,20.0,20,20,20,20,20,0.0,20,20,20,20,20,20,20,20,20,20,35,50,50,50,50.0,50,50,100,50.0,0.0,100.0,100.0,40.0,45.0,59.0,A-
20.0,20.0,20,0.33,20,6,20,20,20,20.0,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50.0,50,50,100,50.0,50.0,100.0,100.0,38.0,40.0,52.5,B-
20.0,20.0,20,19.89,20,20,20,20,20,14.5,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50.0,50,50,100,50.0,50.0,100.0,100.0,37.0,42.0,61.0,A
20.0,20.0,20,20.0,20,20,20,20,20,20.0,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50.0,50,50,100,50.0,50.0,100.0,100.0,40.0,42.0,61.0,A
20.0,20.0,20,20.0,20,20,20,20,20,20.0,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50.0,50,50,100,50.0,50.0,100.0,100.0,40.0,45.0,53.0,B-
20.0,20.0,20,20.0,20,20,20,20,20,20.0,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50.0,50,50,100,50.0,50.0,100.0,100.0,39.0,45.0,50.0,C+
20.0,20.0,20,20.0,20,20,20,20,20,20.0,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50.0,50,50,100,50.0,50.0,100.0,75.0,40.0,45.0,61.0,A
20.0,20.0,20,20.0,20,20,20,20,20,20.0,20,20,20,20,20,20,20,20,20,20,35,50,50,50,0.0,50,0,100,50.0,50.0,0.0,0.0,38.0,41.0,53.86,B
20.0,20.0,20,20.0,20,20,20,20,20,20.0,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50.0,50,50,100,50.0,50.0,100.0,100.0,38.0,42.0,57.0,B+
20.0,20.0,20,20.0,20,20,20,20,20,20.0,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50.0,50,50,100,50.0,50.0,100.0,100.0,38.0,45.0,58.0,A-
20.0,20.0,20,20.0,20,20,20,20,20,20.0,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50.0,50,50,100,50.0,50.0,100.0,100.0,37.0,45.0,54.0,B
20.0,20.0,20,19.9,20,20,20,20,20,20.0,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50.0,50,50,100,50.0,50.0,100.0,100.0,40.0,42.0,59.0,A-
20.0,20.0,20,20.0,20,20,20,20,20,20.0,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50.0,50,50,100,50.0,50.0,100.0,100.0,34.0,44.0,56.0,B+
20.0,20.0,20,20.0,20,20,20,20,20,18.0,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50.0,50,50,100,50.0,50.0,100.0,100.0,39.0,44.0,61.0,A
20.0,20.0,20,20.0,20,20,20,0,20,0.0,20,20,20,0,20,20,20,20,20,20,35,0,50,28,50.0,50,0,100,50.0,50.0,100.0,25.0,38.0,41.0,55.0,B
